name,hex,r,g,b
Absolute Zero,#0048BA,0.0,0.28,0.73
Acid green,#B0BF1A,0.69,0.75,0.1
Aero,#7CB9E8,0.49,0.73,0.91
African violet,#B284BE,0.7,0.52,0.75
Air superiority blue,#72A0C1,0.45,0.63,0.76
Alice blue,#F0F8FF,0.94,0.97,1.0
Alizarin,#DB2D43,0.86,0.18,0.26
Alloy orange,#C46210,0.77,0.38,0.06
Almond,#EFDECD,0.94,0.87,0.8
Amaranth deep purple,#9F2B68,0.62,0.17,0.41
Amaranth pink,#F19CBB,0.95,0.61,0.73
Amaranth purple,#AB274F,0.67,0.15,0.31
Amazon,#3B7A57,0.23,0.48,0.34
Amber,#FFBF00,1.0,0.75,0.0
Amethyst,#9966CC,0.6,0.4,0.8
Android green,#3DDC84,0.24,0.86,0.53
Antique brass,#CD9575,0.8,0.58,0.46
Antique bronze,#665D1E,0.4,0.36,0.12
Antique fuchsia,#915C83,0.57,0.36,0.51
Antique ruby,#841B2D,0.52,0.11,0.18
Antique white,#FAEBD7,0.98,0.92,0.84
Apricot,#FBCEB1,0.98,0.81,0.69
Aqua,#00FFFF,0.0,1.0,1.0
Aquamarine,#7FFFD4,0.5,1.0,0.83
Arctic lime,#D0FF14,0.82,1.0,0.08
Artichoke green,#4B6F44,0.29,0.44,0.27
Arylide yellow,#E9D66B,0.91,0.84,0.42
Ash gray,#B2BEB5,0.7,0.75,0.71
Atomic tangerine,#FF9966,1.0,0.6,0.4
Aureolin,#FDEE00,0.99,0.93,0.0
Azure,#007FFF,0.0,0.5,1.0
Azure (X11/web color),#F0FFFF,0.94,1.0,1.0
Baby blue,#89CFF0,0.54,0.81,0.94
Baby blue eyes,#A1CAF1,0.63,0.79,0.95
Baby pink,#F4C2C2,0.96,0.76,0.76
Baby powder,#FEFEFA,1.0,1.0,0.98
Baker-Miller pink,#FF91AF,1.0,0.57,0.69
Banana Mania,#FAE7B5,0.98,0.91,0.71
Barn red,#7C0A02,0.49,0.04,0.01
Battleship grey,#848482,0.52,0.52,0.51
Beau blue,#BCD4E6,0.74,0.83,0.9
Beaver,#9F8170,0.62,0.51,0.44
Beige,#F5F5DC,0.96,0.96,0.86
B'dazzled blue,#2E5894,0.18,0.35,0.58
Big dip o’ruby,#9C2542,0.61,0.15,0.26
Bisque,#FFE4C4,1.0,0.89,0.77
Bistre,#3D2B1F,0.24,0.17,0.12
Bistre brown,#967117,0.59,0.44,0.09
Bitter lemon,#CAE00D,0.79,0.88,0.05
Black,#000000,0.0,0.0,0.0
Black bean,#3D0C02,0.24,0.05,0.01
Black coral,#54626F,0.33,0.38,0.44
Black olive,#3B3C36,0.23,0.24,0.21
Black Shadows,#BFAFB2,0.75,0.69,0.7
Blanched almond,#FFEBCD,1.0,0.92,0.8
Blast-off bronze,#A57164,0.65,0.44,0.39
Bleu de France,#318CE7,0.19,0.55,0.91
Blizzard blue,#ACE5EE,0.67,0.9,0.93
Blood red,#660000,0.4,0.0,0.0
Blue,#0000FF,0.0,0.0,1.0
Blue (Crayola),#1F75FE,0.12,0.46,1.0
Blue (Munsell),#0093AF,0.0,0.58,0.69
Blue (NCS),#0087BD,0.0,0.53,0.74
Blue (Pantone),#0018A8,0.0,0.09,0.66
Blue (pigment),#333399,0.2,0.2,0.6
Blue bell,#A2A2D0,0.64,0.64,0.82
Blue-gray (Crayola),#6699CC,0.4,0.6,0.8
Blue jeans,#5DADEC,0.36,0.68,0.93
Blue sapphire,#126180,0.07,0.38,0.5
Blue-violet,#8A2BE2,0.54,0.17,0.89
Blue yonder,#5072A7,0.31,0.45,0.65
Bluetiful,#3C69E7,0.24,0.41,0.91
Blush,#DE5D83,0.87,0.36,0.51
Bole,#79443B,0.47,0.27,0.23
Bone,#E3DAC9,0.89,0.85,0.79
Brick red,#CB4154,0.8,0.25,0.33
Bright lilac,#D891EF,0.85,0.57,0.94
