,MetricFullNames,RF,GDBT,Bagging,MLP,XGB,LR
auc,area under the receiver-operater characteristic curve,"0.695 (0.664, 0.715)","0.680 (0.652, 0.704)","0.680 (0.654, 0.710)","0.740 (0.725, 0.756)","0.651 (0.621, 0.683)","0.602 (0.581, 0.622)"
sens,"sensitivity, recall, hit rate, true positive rate","0.259 (0.161, 0.364)","0.538 (0.409, 0.636)","0.360 (0.207, 0.541)","0.557 (0.307, 0.925)","0.447 (0.298, 0.591)","0.468 (0.389, 0.520)"
spec,"specificity, selectivity, true negative rate","0.837 (0.802, 0.879)","0.682 (0.626, 0.746)","0.821 (0.764, 0.868)","0.730 (0.351, 0.870)","0.696 (0.632, 0.807)","0.684 (0.654, 0.719)"
prec,"precision, positive predictive value","0.276 (0.177, 0.375)","0.290 (0.254, 0.329)","0.325 (0.234, 0.399)","0.348 (0.247, 0.419)","0.263 (0.220, 0.329)","0.264 (0.233, 0.291)"
npv,negative predictive value,"0.824 (0.802, 0.844)","0.860 (0.834, 0.884)","0.842 (0.814, 0.876)","0.874 (0.832, 0.930)","0.839 (0.819, 0.870)","0.842 (0.824, 0.857)"
jac,"jaccard index, threat score, critical success index","0.155 (0.093, 0.217)","0.232 (0.190, 0.269)","0.206 (0.123, 0.284)","0.265 (0.167, 0.355)","0.198 (0.158, 0.250)","0.203 (0.171, 0.229)"
acc,accuracy,"0.724 (0.686, 0.765)","0.654 (0.619, 0.694)","0.731 (0.695, 0.765)","0.696 (0.453, 0.770)","0.648 (0.603, 0.717)","0.642 (0.624, 0.668)"
phi,"phi coefficient, matthews correlation coefficient","0.098 (-0.020, 0.211)","0.181 (0.105, 0.251)","0.173 (0.049, 0.286)","0.261 (0.135, 0.403)","0.121 (0.048, 0.225)","0.127 (0.067, 0.178)"
fnr,"false negative rate, miss rate","0.741 (0.636, 0.839)","0.462 (0.364, 0.591)","0.640 (0.459, 0.793)","0.443 (0.075, 0.693)","0.553 (0.409, 0.702)","0.532 (0.480, 0.611)"
fpr,"false positive rate, fall-out","0.163 (0.121, 0.198)","0.318 (0.254, 0.374)","0.179 (0.132, 0.236)","0.270 (0.130, 0.649)","0.304 (0.193, 0.368)","0.316 (0.281, 0.346)"
fdr,false discovery rate,"0.724 (0.625, 0.823)","0.710 (0.671, 0.746)","0.675 (0.601, 0.766)","0.652 (0.581, 0.753)","0.737 (0.671, 0.780)","0.736 (0.709, 0.767)"
for,false omission rate,"0.176 (0.156, 0.198)","0.140 (0.116, 0.166)","0.158 (0.124, 0.186)","0.126 (0.070, 0.168)","0.161 (0.130, 0.181)","0.158 (0.143, 0.176)"
plr,positive likelihood ratio,"1.623 (0.897, 2.485)","1.695 (1.405, 2.029)","2.025 (1.266, 2.751)","2.237 (1.381, 2.986)","1.488 (1.168, 2.026)","1.487 (1.258, 1.697)"
nlr,negative likelihood ratio,"0.887 (0.765, 1.024)","0.675 (0.544, 0.820)","0.779 (0.587, 0.946)","0.599 (0.313, 0.835)","0.794 (0.621, 0.916)","0.777 (0.691, 0.884)"
pt,prevalence threshold,"0.446 (0.388, 0.515)","0.435 (0.412, 0.458)","0.416 (0.376, 0.471)","0.404 (0.367, 0.464)","0.452 (0.413, 0.481)","0.451 (0.434, 0.471)"
ba,balanced accuracy,"0.548 (0.490, 0.601)","0.610 (0.562, 0.653)","0.590 (0.523, 0.661)","0.644 (0.526, 0.743)","0.571 (0.529, 0.631)","0.576 (0.540, 0.607)"
f1,f1-measure,"0.266 (0.169, 0.356)","0.375 (0.319, 0.424)","0.339 (0.220, 0.442)","0.417 (0.285, 0.524)","0.329 (0.272, 0.400)","0.337 (0.291, 0.373)"
fm,fowlkes-mallows index,"0.267 (0.169, 0.357)","0.394 (0.327, 0.450)","0.341 (0.221, 0.449)","0.433 (0.300, 0.554)","0.342 (0.280, 0.420)","0.352 (0.301, 0.389)"
bm,bookmaker informedness,"0.095 (-0.019, 0.203)","0.220 (0.124, 0.306)","0.181 (0.046, 0.322)","0.287 (0.052, 0.486)","0.143 (0.059, 0.262)","0.153 (0.080, 0.214)"
mk,markedness,"0.100 (-0.021, 0.219)","0.150 (0.088, 0.207)","0.167 (0.050, 0.267)","0.229 (0.144, 0.333)","0.103 (0.040, 0.195)","0.106 (0.057, 0.148)"
dor,diagnostic odds ratio,"1.902 (0.882, 3.256)","2.593 (1.714, 3.567)","2.713 (1.358, 4.451)","4.245 (2.242, 9.551)","1.925 (1.285, 3.168)","1.936 (1.424, 2.458)"
