,sens,spec,prec,npv,jac,acc,phi,fnr,fpr,fdr,for,plr,nlr,pt,ba,f1,fm,bm,mk,dor,auc
0,0.5625,0.6942148760330579,0.32727272727272727,0.8571428571428571,0.2608695652173913,0.6666666666666666,0.2175826828858645,0.4375,0.30578512396694213,0.6727272727272727,0.1428571428571429,1.8395270270270272,0.6302083333333334,0.4243956820912777,0.6283574380165289,0.41379310344827586,0.42905816516051654,0.25671487603305776,0.18441558441558437,2.918918918918919,0.6769111570247934
1,0.5625,0.6115702479338843,0.27692307692307694,0.8409090909090909,0.22784810126582278,0.6013071895424836,0.14321687983311368,0.4375,0.38842975206611574,0.7230769230769231,0.15909090909090906,1.4481382978723403,0.7153716216216217,0.45384690579506776,0.5870351239669421,0.3711340206185567,0.39467610868816316,0.17407024793388426,0.11783216783216788,2.0243161094224917,0.6655475206611571
2,0.53125,0.6859504132231405,0.3090909090909091,0.8469387755102041,0.24285714285714285,0.6535947712418301,0.1840915858219437,0.46875,0.31404958677685946,0.6909090909090909,0.15306122448979587,1.6916118421052635,0.6833584337349398,0.4346654774004824,0.6086002066115703,0.3908045977011494,0.4052216004293767,0.21720041322314065,0.15602968460111333,2.4754385964912284,0.6526342975206612
3,0.59375,0.5867768595041323,0.2753623188405797,0.8452380952380952,0.23170731707317074,0.5882352941176471,0.1475520721932468,0.40625,0.4132231404958677,0.7246376811594203,0.15476190476190477,1.4368750000000001,0.6923415492957746,0.45481478563361427,0.5902634297520661,0.37623762376237624,0.4043468521104056,0.18052685950413228,0.12060041407867494,2.075384615384616,0.6523760330578512
4,0.5625,0.6776859504132231,0.3157894736842105,0.8541666666666666,0.2535211267605634,0.6535947712418301,0.20204226562464248,0.4375,0.3223140495867769,0.6842105263157895,0.14583333333333337,1.7451923076923075,0.645579268292683,0.43083814148083566,0.6200929752066116,0.4044943820224719,0.4214636152117623,0.2401859504132231,0.16995614035087714,2.7032967032967026,0.6598657024793388
5,0.5625,0.6776859504132231,0.3157894736842105,0.8541666666666666,0.2535211267605634,0.6535947712418301,0.20204226562464248,0.4375,0.3223140495867769,0.6842105263157895,0.14583333333333337,1.7451923076923075,0.645579268292683,0.43083814148083566,0.6200929752066116,0.4044943820224719,0.4214636152117623,0.2401859504132231,0.16995614035087714,2.7032967032967026,0.6580578512396695
6,0.625,0.5950413223140496,0.2898550724637681,0.8571428571428571,0.24691358024691357,0.6013071895424836,0.17984887769477295,0.375,0.4049586776859504,0.7101449275362319,0.1428571428571429,1.5433673469387756,0.6302083333333334,0.44596600782126955,0.6100206611570248,0.39603960396039606,0.4256282653793743,0.2200413223140496,0.14699792960662528,2.4489795918367347,0.6634814049586777
7,0.53125,0.6776859504132231,0.30357142857142855,0.845360824742268,0.23943661971830985,0.6470588235294118,0.17640096908259914,0.46875,0.3223140495867769,0.6964285714285714,0.15463917525773196,1.6482371794871793,0.6916920731707318,0.4378596392223918,0.6044679752066116,0.38636363636363635,0.40158725257230393,0.2089359504132231,0.14893225331369653,2.3829059829059824,0.6583161157024793
8,0.5625,0.6694214876033058,0.3103448275862069,0.8526315789473684,0.25,0.6470588235294118,0.1944163847197759,0.4375,0.3305785123966942,0.6896551724137931,0.1473684210526316,1.7015624999999999,0.6535493827160493,0.4339449939520092,0.6159607438016529,0.4,0.4178145108983667,0.23192148760330578,0.16297640653357526,2.6035714285714286,0.6614152892561983
mean,0.5659722222222222,0.6528925619834711,0.30266658979079086,0.8504108236628972,0.24518606443331978,0.6347131445170661,0.18302155372006684,0.4340277777777778,0.3471074380165289,0.6973334102092092,0.14958917633710286,1.6444115343128,0.6653209181990166,0.4385744194308649,0.6094323921028466,0.3937068166554816,0.4134733317402257,0.2188647842056933,0.15307741345368797,2.4817898500138673,0.6609561524334251
std,0.02899877272307303,0.04234277176016362,0.01810840535354154,0.0058989688619762205,0.010792581936239547,0.02912797812008919,0.0248631955691317,0.02899877272307303,0.04234277176016362,0.01810840535354154,0.0058989688619762205,0.1395066511757591,0.030902667685796976,0.010662978110442145,0.013796936112828211,0.013956616246214627,0.012161222766541004,0.027593872225656423,0.02238776193386457,0.29355269044972715,0.007430185758046019
ci_lower,0.5091356720891366,0.5699022543279507,0.26717476748039715,0.8388490571475006,0.2240329925380927,0.5776233564592206,0.13429058586399287,0.37719122764469215,0.2641171303610085,0.6618415878988155,0.13802740982170625,1.37098352240452,0.6047528025086448,0.41767536636645936,0.5823908942247032,0.3663523514668543,0.38963777310983677,0.1647817884494066,0.10919820636885662,1.9064371491675671,0.6463932559492125
ci_upper,0.6228087723553078,0.7358828696389915,0.3381584121011846,0.8619725901782939,0.26633913632854683,0.6918029325749115,0.23175252157614082,0.49086432791086343,0.4300977456720493,0.732825232519603,0.16115094285249948,1.9178395462210802,0.7258890338893884,0.45947347249527043,0.63647388998099,0.42106128184410885,0.43730889037061466,0.27294777996198,0.1969566205385193,3.0571425508601675,0.6755190489176377
