,sens,spec,prec,npv,jac,acc,phi,fnr,fpr,fdr,for,plr,nlr,pt,ba,f1,fm,bm,mk,dor,auc
0,0.53125,0.7107438016528925,0.3269230769230769,0.8514851485148515,0.2537313432835821,0.673202614379085,0.20778278253953236,0.46875,0.2892561983471075,0.6730769230769231,0.14851485148514854,1.8366071428571427,0.6595203488372093,0.4245897239467556,0.6209969008264462,0.40476190476190477,0.41674678716864105,0.24199380165289242,0.17840822543792845,2.784761904761904,0.674974173553719
1,0.65625,0.6776859504132231,0.35,0.8817204301075269,0.29577464788732394,0.673202614379085,0.2781722165460056,0.34375,0.3223140495867769,0.65,0.11827956989247312,2.036057692307692,0.5072408536585367,0.4120474542510669,0.6669679752066116,0.4565217391304347,0.47925723781702034,0.3339359504132231,0.23172043010752685,4.013986013986013,0.706353305785124
2,0.625,0.6446280991735537,0.31746031746031744,0.8666666666666667,0.26666666666666666,0.6405228758169934,0.2228133944284271,0.375,0.3553719008264463,0.6825396825396826,0.1333333333333333,1.758720930232558,0.5817307692307693,0.42989160832647455,0.6348140495867769,0.42105263157894735,0.44543540318737396,0.2696280991735538,0.18412698412698414,3.023255813953488,0.6949896694214875
3,0.59375,0.6776859504132231,0.3275862068965517,0.8631578947368421,0.2676056338028169,0.6601307189542484,0.22754077988918092,0.40625,0.3223140495867769,0.6724137931034483,0.13684210526315788,1.8421474358974357,0.5994664634146342,0.42422182381824347,0.6357179752066116,0.42222222222222217,0.44102642817049814,0.2714359504132231,0.19074410163339373,3.0729783037475342,0.7022210743801653
4,0.625,0.6942148760330579,0.3508771929824561,0.875,0.2898550724637681,0.6797385620915033,0.26852068850758937,0.375,0.30578512396694213,0.6491228070175439,0.125,2.043918918918919,0.5401785714285714,0.4115807422549178,0.6596074380165289,0.449438202247191,0.468292905790847,0.31921487603305776,0.22587719298245612,3.7837837837837838,0.6824638429752067
5,0.5625,0.6528925619834711,0.3,0.8494623655913979,0.24324324324324326,0.6339869281045751,0.17942430672805001,0.4375,0.3471074380165289,0.7,0.15053763440860213,1.6205357142857144,0.6700949367088607,0.439946695898891,0.6076962809917356,0.3913043478260869,0.41079191812887456,0.21539256198347112,0.1494623655913978,2.418367346938776,0.6518595041322315
6,0.59375,0.5950413223140496,0.27941176470588236,0.8470588235294118,0.2345679012345679,0.5947712418300654,0.15452038566731854,0.40625,0.4049586776859504,0.7205882352941176,0.15294117647058825,1.4661989795918369,0.6827256944444444,0.452311235177079,0.5943956611570248,0.38,0.4073091397134585,0.1887913223140496,0.1264705882352941,2.1475667189952907,0.6727789256198347
7,0.6875,0.7355371900826446,0.4074074074074074,0.898989898989899,0.34375,0.7254901960784313,0.36002424299928415,0.3125,0.2644628099173554,0.5925925925925926,0.101010101010101,2.599609375,0.42485955056179775,0.38279996792298365,0.7115185950413223,0.5116279069767441,0.529237746757157,0.4230371900826446,0.30639730639730645,6.11875,0.7205578512396694
8,0.59375,0.6776859504132231,0.3275862068965517,0.8631578947368421,0.2676056338028169,0.6601307189542484,0.22754077988918092,0.40625,0.3223140495867769,0.6724137931034483,0.13684210526315788,1.8421474358974357,0.5994664634146342,0.42422182381824347,0.6357179752066116,0.42222222222222217,0.44102642817049814,0.2714359504132231,0.19074410163339373,3.0729783037475342,0.6998966942148761
mean,0.6076388888888888,0.6740128558310376,0.3319169081413604,0.8662999025414931,0.2736444602649762,0.6601307189542484,0.2362599530216188,0.3923611111111111,0.32598714416896235,0.6680830918586396,0.1337000974585069,1.8939937361098593,0.5850315168554954,0.42240123060162843,0.6408258723599634,0.428794575218417,0.4487915549893743,0.2816517447199265,0.1982168106828535,3.381825354434925,0.6895661157024793
std,0.047163464261132375,0.04051085721722518,0.03611133221587819,0.01686415534861026,0.03285704642301609,0.035947712418300665,0.060384649393779806,0.047163464261132375,0.04051085721722518,0.0361113322158782,0.016864155348610257,0.32119091521399773,0.08401963081746598,0.019565657941997494,0.03494363940373671,0.039633701118441646,0.03889655953689591,0.06988727880747342,0.05222273366440189,1.1821288944637687,0.02093306758904855
ci_lower,0.5152001975509274,0.5946130347024318,0.26113999756447814,0.8332467654285285,0.20924583263750404,0.5896744972877758,0.11790821499073198,0.29992241977314965,0.24658732304035647,0.5973061812817573,0.10064696034554227,1.2644711101289656,0.42035606645891044,0.38405324570148325,0.5723375976398847,0.3511139484522465,0.37255569917454034,0.14467519527976921,0.09586213352639834,1.064895296201788,0.6485380571420014
ci_upper,0.7000775802268503,0.7534126769596435,0.4026938187182426,0.8993530396544578,0.3380430878924483,0.7305869406207209,0.3546116910525057,0.48479980244907256,0.40538696529756824,0.7388600024355219,0.1667532345714715,2.523516362090753,0.7497069672520803,0.4607492155017736,0.709314147080042,0.5064752019845875,0.5250274108042082,0.41862829416008374,0.30057148783930865,5.698755412668062,0.7305941742629571
